,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
4598,1000,0.1,2,reg:squarederror,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999662117982112,0.0013145583797922928,0.9120234235233885,0.06100180551245087,0.9064715036486509
4816,1000,0.15,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9874066638212519,0.02537860444858837,0.9094309168597218,0.06189408486154796,0.9064404282654673
2481,100,0.2,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9959837667649045,0.014332000056989156,0.9106500989532449,0.0614760844247721,0.906374984070625
4070,1000,0.05,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9994955730297712,0.0050792137278779185,0.9103889042442469,0.06156587473217279,0.90564985591101
4815,1000,0.15,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9897159313427554,0.022934000733186008,0.9089833162365433,0.062046839452876174,0.9055324467099667
1949,100,0.1,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9880856426541506,0.024684972584586327,0.9105877692734625,0.06149752326572221,0.905404451550185
3490,500,0.15,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9835959308732944,0.02896497338271303,0.9086908371840616,0.062146452207510694,0.9052288784043104
4551,1000,0.1,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9834648567804448,0.029080463136604368,0.9078121912694175,0.06244474643621074,0.9047682541886907
3273,500,0.1,2,reg:squarederror,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9995750608665803,0.004661875835443811,0.910373129939263,0.061571293236107764,0.9047170653237796
4286,1000,0.07,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9798736026210436,0.03208339808624116,0.9075902669931631,0.06251986306636942,0.9045390022240695
4549,1000,0.1,1,reg:squarederror,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_var_cv_23', 'tex_var_cv_50']",0.9866593160739564,0.026120794697975364,0.9083037656999416,0.062278036374093695,0.904373927087082
3226,500,0.1,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9761648442193036,0.034914540896997436,0.9063679745552298,0.06293197615977267,0.9032763510735629
2961,500,0.07,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9730054902480354,0.03715652244349043,0.9063043117306271,0.06295336705970395,0.9032105861745628
3271,500,0.1,2,reg:squarederror,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9997154442138696,0.0038148814705033195,0.9097729559464901,0.06177710111301253,0.9031386144719673
4814,1000,0.15,1,reg:squarederror,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.990754667760869,0.021744959325261288,0.9065520989783068,0.06287006883758196,0.9025471889345199
4599,1000,0.1,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9999615380447135,0.0014025327713410888,0.9075040684833554,0.06254901509785149,0.9021419854968833
3541,500,0.15,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_50']",0.9999278204847015,0.0019213404189943725,0.9064772053112707,0.06289525734855718,0.9020024304457813
2742,500,0.05,2,reg:squarederror,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9980615904936025,0.009956807341943827,0.9082200947437684,0.062306443618579274,0.9019521987750502
4333,1000,0.07,2,reg:squarederror,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9998834661868026,0.0024413121760100474,0.9076325694665694,0.06250555154582026,0.9018035568600908
3008,500,0.07,2,reg:squarederror,13,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.998993212136894,0.007175733880965234,0.9075857279619373,0.06252139848973251,0.901753759338176
4866,1000,0.15,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_50']",0.9999627688627359,0.0013799091346452345,0.9059314049700347,0.06307851915982628,0.9014305152556823
4550,1000,0.1,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9860515145834918,0.026709199052601572,0.9047324257457844,0.06347923933109216,0.9011203850157667
3801,500,0.2,2,reg:squarederror,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9999761947327,0.0011034022610266014,0.9078120517875042,0.06244479367623917,0.9010335261836443
5126,1000,0.2,2,reg:squarederror,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9999761947327,0.0011034022610266014,0.9078120517875042,0.06244479367623917,0.9010335261836443
3544,500,0.15,2,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47']",0.9996961045626797,0.003942388580672665,0.9039771007849483,0.06373038874832972,0.9008065333580362
3009,500,0.07,2,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9988995207921358,0.007502193459568331,0.9061960603891429,0.06298972315746505,0.9007581508464846
2476,100,0.2,2,reg:squarederror,15,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9974216780257764,0.011483278912966377,0.9074303565289074,0.06257393344760398,0.9006237650972093
3268,500,0.1,2,reg:squarederror,18,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_42', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_cont_kurtosis_56', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9997419500500119,0.0036328647368355496,0.9086789223781153,0.06215050677740021,0.9005009154269018
3489,500,0.15,1,reg:squarederror,9,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9847534588010203,0.027924345591732052,0.9045255965502057,0.06354810978234987,0.9004338364023574
890,50,0.15,2,reg:squarederror,11,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.983171553472854,0.02933724663454029,0.90501870862945,0.06338378873813676,0.8999956595665843
2746,500,0.05,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9974910043254281,0.01132784491610924,0.9043703477385688,0.0635997558822454,0.8997947662906535
3802,500,0.2,2,reg:squarederror,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9999771018134984,0.0010821759611337027,0.9060834045000382,0.06302753624933286,0.8996695882219921
5127,1000,0.2,2,reg:squarederror,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50', 'tex_var_q1_48']",0.9999771018134984,0.0010821759611337027,0.9060834045000382,0.06302753624933286,0.8996695882219921
4071,1000,0.05,2,reg:squarederror,10,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_70', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9996031250251306,0.004505304987312984,0.9042120467606547,0.06365237418771233,0.8996288911032697
3007,500,0.07,2,reg:squarederror,14,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_28', 'tex_ent_cv_44', 'tex_homo_cv_0', 'tex_asm_cv_44', 'tex_asm_q3_47', 'tex_var_cv_23', 'tex_var_cv_50']",0.9991116279150406,0.006740541549281029,0.9059236617792912,0.06308111523854286,0.8994989362422672
4021,1000,0.05,1,reg:squarederror,7,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23']",0.9762971048299335,0.03481753623688317,0.9025835987706262,0.0641911566572721,0.8993670194847507
4811,1000,0.15,1,reg:squarederror,12,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_q1_70', 'ref_skewness_23', 'ref_skewness_27', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_ent_cv_46', 'tex_var_cv_23', 'tex_var_cv_50']",0.9934591552854455,0.018290023257916184,0.9045219071358609,0.06354933761428375,0.8989869452306934
3225,500,0.1,1,reg:squarederror,8,"['rdvi_skewness', 'ngrdvi_q1', 'ref_q1_22', 'ref_skewness_48', 'tex_cont_cv_22', 'tex_ent_cv_44', 'tex_var_cv_23', 'tex_var_cv_50']",0.9791557694679477,0.032650532772090644,0.9026481150361517,0.06416989709747362,0.8989570483076645
