,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
269,50,18,3,2,log2,42,19,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_skewness_42', 'ref_kurtosis_21', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_kurtosis_23', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_cv_40', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_cv_47', 'tex_cor_kurtosis_62']",0.9594230509993785,0.04555510300228982,0.8299536050928377,0.08480918210662595,0.8137991975766572
541,200,15,3,2,log2,42,11,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9601278420022402,0.04515774108297634,0.8230454931550828,0.08651471360989683,0.813687322120015
1071,1200,8,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9657855262010016,0.041831387603510954,0.8213166007783386,0.08693632213376377,0.813658740811696
903,1000,5,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9592886040189971,0.045630511345825034,0.8211502434601097,0.08697678232432539,0.8134852538941144
202,50,8,3,2,log2,42,14,"['mcari2_skewness', 'mcariosavi_kurtosis', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_cv_40', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9596380617711989,0.04543424808453315,0.8252487296642352,0.08597443513976653,0.8133144965681343
470,200,5,3,2,log2,42,10,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9574113602588177,0.046670690131036294,0.8217649307871766,0.08682718876858701,0.8132369370449363
414,100,18,3,2,log2,42,18,"['mcari2_skewness', 'mcariosavi_kurtosis', 'ref_skewness_42', 'ref_kurtosis_21', 'tex_cont_mean_52', 'tex_cont_cv_25', 'tex_cont_cv_76', 'tex_cont_kurtosis_23', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_var_cv_39', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.965182436367214,0.042198452747132055,0.8285833032920307,0.08515020959084846,0.813232554333108
999,1000,18,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9656730914836419,0.0419000638403507,0.8208815255987502,0.08704209815956672,0.8132050195529823
927,1000,8,3,2,log2,42,9,"['mcari2_skewness', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_dis_skewness_54', 'tex_cor_kurtosis_62']",0.9655557320773978,0.04197162826357295,0.8206537673940593,0.08709741979542471,0.8129675002823761
540,200,15,3,2,log2,42,12,"['mcari2_skewness', 'ref_kurtosis_21', 'tex_cont_cv_25', 'tex_ent_cv_12', 'tex_ent_kurtosis_42', 'tex_homo_cv_48', 'tex_homo_skewness_27', 'tex_homo_kurtosis_51', 'tex_asm_cv_29', 'tex_dis_skewness_54', 'tex_var_kurtosis_49', 'tex_cor_kurtosis_62']",0.9643242457845294,0.04271534515755843,0.8231848652561982,0.08648063673675382,0.8129347125174271
