,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
92,rbf,10,0.01,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9462575551794798,0.04921274872061823,0.7746964429554488,0.10685800526796341,0.7666938575959429
423,linear,10,0.1,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7549476054468054,0.1050868534494739,0.7714227040127813,0.10763154740963535,0.7664938135332726
483,linear,100,0.1,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7548869162944141,0.10509986543667799,0.7714090156201718,0.10763477012870543,0.7664798299731674
63,rbf,10,0.0001,scale,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9386748029201999,0.05257004991686446,0.7737519947267538,0.10708173966619358,0.7663542397859392
94,rbf,10,0.01,scale,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.9429447218244877,0.05070687270220184,0.7726991969684437,0.10733059174319327,0.7659048794865222
108,rbf,10,0.1,scale,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8866382783765361,0.07147466517482724,0.773107526945607,0.10723414246120926,0.7656886994887877
363,linear,1,0.1,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7547572548095189,0.10512765996055128,0.7705871639621825,0.10782808581740316,0.7656402564465423
490,linear,100,0.1,scale,1,['rdvi_skewness'],0.693095341800696,0.11760361000520615,0.7659756163970101,0.10890644801206031,0.7653565042710763
430,linear,10,0.1,scale,1,['rdvi_skewness'],0.6930828495363803,0.11760600345279934,0.7659300488800951,0.10891705022963469,0.7653108162051747
370,linear,1,0.1,scale,1,['rdvi_skewness'],0.6930818607015475,0.1176061929059122,0.7659260458559136,0.10891798156601445,0.7653068025909822
46,rbf,1,0.1,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8431068222730966,0.08408546743280063,0.7735083139255163,0.1071393904326304,0.7648209615829334
56,rbf,1,0.1,scale,4,"['rdvi_skewness', 'ref_q3_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.7845063052320396,0.09854536373521397,0.7663680349698926,0.10881510102741104,0.7638759606762381
45,rbf,1,0.1,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8391527782953508,0.08513844131548191,0.7719800683291669,0.10750024259603382,0.7625836425735006
100,rbf,10,0.01,scale,5,"['rdvi_skewness', 'mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8676974224296196,0.0772152471363241,0.7654395599659243,0.10903110726307576,0.7623037252061104
90,rbf,10,0.01,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9448515722375789,0.04985233226140079,0.7713396793187206,0.10765109280007977,0.7619168639060305
80,rbf,10,0.001,scale,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.935874072064397,0.0537570891516243,0.7674272128552088,0.10856816248657679,0.7611244272957294
77,rbf,10,0.001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9441075954359851,0.05018747081562558,0.7689020270946274,0.10822338328663536,0.760693629149901
109,rbf,10,0.1,scale,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8854705615149412,0.07184184528886195,0.767204125795897,0.10862022005338916,0.7602455534691439
62,rbf,10,0.0001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9436821049861123,0.05037813896517427,0.7678333472263892,0.10847332652268282,0.759586990707108
65,rbf,10,0.0001,scale,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.9355297565833416,0.05390121664545329,0.7658418610508195,0.10893756600632702,0.7594961120278065
57,rbf,1,0.1,scale,3,"['rdvi_skewness', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.7530053903575016,0.10550247569936919,0.7613830884775417,0.10996985409418351,0.7594792301409263
114,rbf,10,0.1,scale,6,"['rdvi_skewness', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.8609861450215901,0.07914946006048382,0.7592348046800812,0.11046377780413698,0.7553619060958465
91,rbf,10,0.01,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9475837098918902,0.048601766302324594,0.7642771604222225,0.10930093341156757,0.7552357364384173
97,rbf,10,0.01,scale,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_q3_4']",0.9186479594215701,0.06054846514301587,0.7600080561849863,0.11028625012144447,0.7548330277469267
410,linear,10,0.01,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7404748947453079,0.10814553688968861,0.7587054743697929,0.11058514028536727,0.754824061088878
470,linear,100,0.01,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7401744741951137,0.10820811223268033,0.7581976483491929,0.11070144730733085,0.7543080662851048
75,rbf,10,0.001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9427111039453147,0.050810578538408,0.7637538463210176,0.10942219236373726,0.7540184279001805
350,linear,1,0.01,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7400545700789103,0.10823307725775075,0.7577375884908005,0.11080670908409142,0.7538406060000359
58,rbf,1,0.1,scale,2,"['rdvi_skewness', 'tex_mean_skewness_4']",0.7329105676461644,0.10971026539892358,0.7546243206918002,0.11151641417776888,0.7533225929501122
60,rbf,10,0.0001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9423607488461261,0.05096570991983163,0.7623623257288124,0.1097439747015326,0.7525695644264282
440,linear,100,0.0001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7410393850827468,0.10802785975314513,0.7560774548294596,0.11118571934777069,0.752153767775778
380,linear,10,0.0001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7408450375978943,0.10806838909231668,0.7558640697750636,0.11123434171731236,0.7519369502540191
335,linear,1,0.001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7409049005880775,0.10805590684908822,0.7555681462227203,0.1113017363296225,0.7516362665372949
455,linear,100,0.001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7406912211490853,0.10810045529297113,0.7551051249300126,0.11140710453495226,0.7511657971808975
395,linear,10,0.001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7407003956275799,0.10809854295109209,0.7550701497752372,0.11141505966592849,0.7511302594230962
93,rbf,10,0.01,scale,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.9446775920235325,0.0499309064836546,0.7586985219035702,0.11058673342949776,0.7508085553173109
320,linear,1,0.0001,scale,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4']",0.7403682026957024,0.10816776418704202,0.7545157269295737,0.11154108786882792,0.7505669182474757
447,linear,100,0.001,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7416032410310134,0.10791018675351022,0.759476804913729,0.11040824863862071,0.7502512577049406
386,linear,10,0.001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7401332712037765,0.10821669168451553,0.7600991295492527,0.11026532214204572,0.7502131046680407
446,linear,100,0.001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7399824327528696,0.10824809406952186,0.7599440604743988,0.11030095348270673,0.750051645384058
461,linear,100,0.01,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7430853041077685,0.10760027635126167,0.7598679559563911,0.11031843635712975,0.7499724046908578
387,linear,10,0.001,scale,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7420678185513709,0.10781313599883939,0.759155456549381,0.11048197888219546,0.7499175836499052
457,linear,100,0.001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.7176522260479276,0.1128005188162713,0.7521352787565232,0.1120805872012814,0.7494913883965928
401,linear,10,0.01,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7428426925877256,0.10765106929342765,0.7590530707059839,0.11050545998018445,0.7491239390043074
326,linear,1,0.001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7397075303374044,0.10830530136076404,0.7588570911690977,0.11055039188067008,0.7489198833876045
337,linear,1,0.001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.7171504041742667,0.11290071553045049,0.7511328919570084,0.11230699042482035,0.7484783094712164
388,linear,10,0.001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.7427625410890494,0.10766784447745623,0.7569858789468054,0.1109784855211587,0.7483542298383585
311,linear,1,0.0001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.739353875342668,0.10837885268046074,0.7582392960101407,0.1106919133742364,0.7482766296369323
442,linear,100,0.0001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.7172307694566693,0.11288467530517639,0.7508717384958407,0.11236590071874536,0.7482143703731297
469,linear,100,0.01,scale,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7400729779681885,0.10822924495768702,0.7526712065092134,0.11195935251928989,0.7480171700725589
397,linear,10,0.001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.7169520450337911,0.11294029657330742,0.7504480665531539,0.11246140585399785,0.7477861792630542
431,linear,100,0.0001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7385521783605355,0.10854540088810087,0.7576715234139474,0.11082181657580072,0.7476854598183683
382,linear,10,0.0001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.716883599408928,0.11295395115332767,0.7502921276488386,0.11249653755863434,0.7476285770104262
322,linear,1,0.0001,scale,4,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'tex_var_kurtosis_4']",0.7167762385987013,0.11297536580512915,0.7502202064051104,0.11251273710476066,0.7475558886067649
87,rbf,10,0.001,scale,3,"['mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8348882873980566,0.0862596822762029,0.7495323220600836,0.11266755855037178,0.7475339097360949
448,linear,100,0.001,scale,13,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.7426908935799463,0.10768283762003097,0.7560449286106421,0.11119313221418313,0.7473798577689436
371,linear,10,0.0001,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7393225012824612,0.10838537528335082,0.7572192665104543,0.11092518158150813,0.7472145659545665
72,rbf,10,0.0001,scale,3,"['mcariosavi_q3', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8342023889334773,0.08643866432585756,0.7489759208146329,0.11279263176195724,0.7469730691190051
409,linear,10,0.01,scale,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_3', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.7395416958066758,0.10833979697837258,0.7513485062349861,0.11225832943867958,0.7466695802770422
96,rbf,10,0.01,scale,9,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_q3_4']",0.9322623053042526,0.05525023368731903,0.7525793510466676,0.11198014088625062,0.746561010936992
324,linear,1,0.0001,scale,2,"['rdvi_skewness', 'tex_var_kurtosis_4']",0.7112217807279952,0.11407779814607517,0.7476487574102229,0.11309040581757393,0.7463100240277837
384,linear,10,0.0001,scale,2,"['rdvi_skewness', 'tex_var_kurtosis_4']",0.7112840686617403,0.11406549449388868,0.7476124901424772,0.11309853205589204,0.7462735643607397
444,linear,100,0.0001,scale,2,"['rdvi_skewness', 'tex_var_kurtosis_4']",0.7110893197326593,0.1141039585786494,0.7472744833036167,0.11317423961916537,0.7459337643821504
341,linear,1,0.01,scale,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.7413252909704082,0.10796820911721021,0.7559762838107268,0.11120877504015056,0.7459203614402896
103,rbf,10,0.01,scale,2,"['rdvi_skewness', 'tex_mean_skewness_4']",0.7922880084657675,0.0967497158052723,0.7471353223591148,0.11320539449978753,0.7457938651833012
