,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
284,700,18,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9325547127182003,0.0551308536973521,0.84889983448447,0.08750956172428132,0.8472880993856378
236,500,18,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.932823880549904,0.05502073267716768,0.8488607687295171,0.08752087344636479,0.8472486169292986
372,1200,15,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9328653485294425,0.05500374784049266,0.8487551822519094,0.0875514393268334,0.8471419041959297
228,500,15,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9327077384693907,0.05506827533635517,0.8486658560611244,0.08757728974042166,0.8470516251924431
380,1200,18,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9329961068475144,0.054950156268351334,0.8485108709862701,0.08762212330895701,0.846894986943457
76,50,12,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9298938123837224,0.056207864887641915,0.8484750218095475,0.08763249037354238,0.846858755375516
129,100,15,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9388983450854953,0.052474148459192765,0.84890309476299,0.0875086176251057,0.8460598734278849
180,200,15,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9334018847440435,0.054783513562372946,0.8476506382372523,0.08787055274476456,0.8460255783784496
188,200,18,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9334693320055694,0.054755765525105284,0.8474213288133213,0.08793665728649017,0.8457938229873301
106,100,5,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8894548696371914,0.0705811485416929,0.848195349694792,0.08771332544690677,0.8457534518346547
140,100,18,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9322393549316286,0.05525959262749182,0.8473051161940126,0.08797013969929371,0.8456763707667487
114,100,8,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9295005519635499,0.05636529333592741,0.8476840579009827,0.08786091448519759,0.845233935507969
153,200,5,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8878639889260297,0.07108720920795797,0.8479801282681341,0.08777548131872288,0.8451195392839324
132,100,15,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9319929796362821,0.05535996243166941,0.8466666815944252,0.08815385442427384,0.8450311261980991
62,50,5,3,2,log2,42,2,"['rdvi_skewness', 'tex_mean_q3_1']",0.8466883037002451,0.08312019579264676,0.8456693787375202,0.08844007270984217,0.8448506486512471
17,25,8,3,2,log2,42,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9260630916404264,0.05772308801275753,0.8475521911376189,0.08789893883028072,0.8446835495730043
148,200,3,3,2,log2,42,4,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8234181985691856,0.0892055519327492,0.8462745847347473,0.0882664939378086,0.8446348469719179
133,100,15,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.904796034230397,0.0655007741419326,0.8457802176728912,0.08840830855282672,0.8445497406862388
162,200,8,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9324682978369568,0.05516616084277323,0.846994784474235,0.08805948803660268,0.8445335745730163
237,500,18,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9063714435750677,0.06495656890819333,0.8456314496666153,0.08845093978108476,0.8443997857011893
298,1000,5,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8904811006665241,0.07025276929129691,0.8468324732334666,0.08810618336045836,0.8443686524275706
229,500,15,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9064204926872366,0.06493955230804808,0.8455450568292202,0.08847568724029642,0.8443127035592406
24,25,12,3,2,log2,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.939583437470341,0.052179140260493084,0.84751884476957,0.0879085517926358,0.844230841422283
117,100,8,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.888299919815439,0.07094889821217422,0.845454962056987,0.08850148775742474,0.8442218899457395
181,200,15,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9068927071075983,0.06477549835412663,0.8452889106166604,0.08854902035484773,0.8440545136268998
346,1200,5,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8902952962264837,0.07031233775318664,0.8462735183641125,0.088266800083132,0.843800706327074
285,700,18,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9058759236071063,0.065128230223347,0.845013105496243,0.08862791385416978,0.843776507933713
277,700,15,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.9059348651371215,0.06510783502352166,0.844798458011631,0.08868926477259458,0.8435601478361918
154,200,5,3,2,log2,42,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.891242077697933,0.07000827297901456,0.8459840180441358,0.08834987375828501,0.8435065491654892
165,200,8,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8882450555563365,0.07096632022683985,0.8444811251960322,0.08877988772088498,0.8432402831098303
213,500,8,3,2,log2,42,3,"['rdvi_skewness', 'tex_homo_cv_4', 'tex_mean_q3_1']",0.8892810249793793,0.07063662513896714,0.8443640192330135,0.08881330713001952,0.8431222427907237
