,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
133,poly,10,0.1,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7882432200248004,0.09768718057803628,0.29731683954975974,0.18871343147388622,0.2840943069606422
76,rbf,100,0.001,scale,4,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9226388731300601,0.05904461657466081,0.28033719667995105,0.19097985832594397,0.2726607934445372
68,rbf,100,0.0001,scale,4,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.922130872786397,0.05923816084479572,0.2734220539051241,0.1918952145444254,0.26567188914677864
132,poly,10,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8113591411592727,0.09220124716774833,0.21732088592091237,0.1991658669672673,0.20044370825882973
85,rbf,100,0.01,scale,3,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_dis_cv_1']",0.8593584151281172,0.0796114967442195,0.19621292273208102,0.2018336381007977,0.18979972796664546
82,rbf,100,0.01,scale,6,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.9675155427885938,0.03826103556224095,0.16651385893994153,0.2055285840148592,0.15310657516953852
77,rbf,100,0.001,scale,3,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_dis_cv_1']",0.8552948251998177,0.08075342370911615,0.14917171279437347,0.20765576799447946,0.14238318922624338
69,rbf,100,0.0001,scale,3,"['rdvi_skewness', 'tex_cont_q3_4', 'tex_dis_cv_1']",0.854967666784835,0.0808446583400778,0.136735265630184,0.20916790114440575,0.12984751508999937
148,poly,100,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8257901876926592,0.08860438582304346,-1.062327644452862,0.3232971457150262,-1.106798321422196
149,poly,100,0.1,scale,7,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1']",0.7794295780036011,0.09969940125277511,-1.0689277063499976,0.3238140559938819,-1.1078591416845405
239,sigmoid,1,0.0001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-911.7953610094339,6.4136554483646036,-886.4955524286943,6.7066575512482025,-905.6329228314694
240,sigmoid,1,0.001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-912.158337578671,6.414930528936418,-886.8588147173687,6.708029967434817,-906.0040182692258
242,sigmoid,1,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-926.4460025158235,6.4649211143450565,-897.3347179167573,6.747488154619985,-916.7058169553936
241,sigmoid,1,0.01,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-855.3611711732352,6.212228144335149,-909.4176453814437,6.792714664654634,-929.0492927212052
245,sigmoid,10,0.01,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-89705.18970730822,63.58140466144869,-86449.09667759409,66.19204219077665,-88313.24970568238
244,sigmoid,10,0.001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-89722.29409328224,63.58746594359022,-86467.96932712685,66.19926688508752,-88332.52931261745
243,sigmoid,10,0.0001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-89724.2220369466,63.58814911285403,-86470.16913845263,66.20010895000398,-88334.77655922789
246,sigmoid,10,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-91726.57535760607,64.29376671273862,-87532.51764895703,66.60552095491207,-89420.03285432537
247,sigmoid,100,0.0001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-8896256.09909376,633.1732749262037,-8524043.366653547,657.2731470100524,-8707850.253266022
248,sigmoid,100,0.001,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-8896261.126023741,633.1734538170133,-8524052.249000875,657.2734894605729,-8707859.327146446
249,sigmoid,100,0.01,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-8896311.398074986,633.1752428202428,-8524141.074914403,657.2769140500457,-8707950.068443555
250,sigmoid,100,0.1,scale,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",-8896810.838375516,633.1930158469303,-8525025.955364412,657.311028708921,-8708854.029873617
