,kernel,C,epsilon,gamma,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
409,linear,10,0.01,scale,11,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7620371114101894,0.10355558565969572,0.8015238726576002,0.10029451381446271,0.7955911623294306
21,rbf,1,0.001,scale,9,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_mean_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8779993803482908,0.07414808367569319,0.8004340161955079,0.10056950149698553,0.7955797084813446
469,linear,100,0.01,scale,11,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7624699547266005,0.10346136141985025,0.8013694962917067,0.10033351118210122,0.7954321714526001
6,rbf,1,0.0001,scale,9,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_mean_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_cv_4', 'tex_var_kurtosis_4']",0.8779242181221316,0.0741709207602076,0.8001532521632546,0.10064022090011429,0.7952921150537121
8,rbf,1,0.0001,scale,7,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.8724662435492414,0.07581087147081692,0.798953289048334,0.10094191161137309,0.7951701520142973
455,linear,100,0.001,scale,10,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7572177244694583,0.10459896853736754,0.8003926693505946,0.10057991914468495,0.7949832565958682
24,rbf,1,0.001,scale,6,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.8687603327335761,0.07690445051062139,0.7982235981762935,0.10112492798341477,0.7949778651710865
440,linear,100,0.0001,scale,10,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7571353771074691,0.1046167060737039,0.8001973731326861,0.1006291109139294,0.7947826677975286
23,rbf,1,0.001,scale,7,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.8727314464777713,0.0757320071424387,0.7985498299989595,0.10104314558794862,0.7947591009935636
334,linear,1,0.001,scale,11,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7600510021629214,0.10398684058706635,0.8006904589201548,0.10050486471127348,0.7947328367683115
9,rbf,1,0.0001,scale,6,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'tex_cont_q1_4', 'tex_homo_skewness_4', 'tex_var_kurtosis_4']",0.868153484067247,0.07708204749445025,0.7972701320819289,0.10136357222957565,0.7940090618205122
395,linear,10,0.001,scale,10,"['gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7571572596173255,0.10461199289719479,0.7994026302189015,0.10082904548092991,0.7939663871354028
393,linear,10,0.001,scale,12,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7607426628861337,0.10383685971741508,0.8000668609887467,0.10066197128525005,0.7935295376423297
348,linear,1,0.01,scale,12,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7629254556002723,0.10336211217462361,0.7999798573498227,0.10068387111953307,0.7934396891977733
466,linear,100,0.01,scale,14,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_mean_4', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_cv_1', 'tex_var_kurtosis_4']",0.7634792559371155,0.10324131590620138,0.8009904571737371,0.10042919688797679,0.7933572144351955
347,linear,1,0.01,scale,13,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_cv_1', 'tex_var_kurtosis_4']",0.7633863662771623,0.10326158708657193,0.8004011034753867,0.10057779419128758,0.7933115251835289
467,linear,100,0.01,scale,13,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_homo_skewness_4', 'tex_mean_mean_4', 'tex_mean_cv_4', 'tex_mean_q3_1', 'tex_var_cv_1', 'tex_var_kurtosis_4']",0.7635179947864588,0.1032328608051998,0.8003968950894901,0.10057885448757906,0.7933071673194447
335,linear,1,0.001,scale,10,"['clsi_cv', 'gvi_kurtosis', 'ref_skewness_3', 'ref_skewness_4', 'ref_kurtosis_3', 'tex_cont_q1_4', 'tex_homo_cv_3', 'tex_mean_mean_4', 'tex_mean_q3_1', 'tex_var_kurtosis_4']",0.7593846561274109,0.10413112787372403,0.7986001895580236,0.10103051515355967,0.7931422001151516
