,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
1355,1000,0.15,1,reg:squarederror,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4']",0.9260667955643248,0.057721642154338296,0.8400425932206221,0.09003787075433899,0.8357077041480103
102,50,0.07,2,reg:squarederror,3,"['rdvi_skewness', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8282530243641866,0.08797584809697458,0.8369607515081808,0.09090109633109764,0.835659906440427
305,50,0.2,1,reg:squarederror,10,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.8570306345614707,0.080267624051642,0.8399836211953493,0.09005446650441747,0.835647133964871
303,50,0.2,1,reg:squarederror,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.8581907500649363,0.07994129753902413,0.8408474954205853,0.08981105075020192,0.835643598813084
873,500,0.07,4,reg:squarederror,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_4']",0.9998047624978086,0.0029662007099091536,0.8408382272139705,0.08981366577425932,0.8356340275588414
1248,1000,0.07,4,reg:squarederror,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_4']",0.9999591036745274,0.0013575663273893122,0.8408238369857485,0.08981772582559405,0.835619166805446
1282,1000,0.1,1,reg:squarederror,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4']",0.9052200377495154,0.06535475317651158,0.8390547394412475,0.09031546761960677,0.8355842216933499
99,50,0.07,2,reg:squarederror,6,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8678894637571618,0.07715918661292975,0.8381572524989157,0.09056693282617734,0.835553883906405
379,100,0.05,1,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.835497725670707,0.08610034000282936,0.840200429271068,0.08999343789681949,0.8354238116677575
827,500,0.07,1,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.8881650301079237,0.0709917244508602,0.8409062833360603,0.08979446196911695,0.8352554136184887
302,50,0.2,1,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.8581907500649363,0.07994129753902413,0.8408474954205853,0.08981105075020192,0.8351945376076553
469,100,0.07,2,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9014817624535747,0.06663113790143171,0.8399485838870213,0.0900643251621119,0.8351644382966877
242,50,0.15,2,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9099973940080011,0.0636863640895208,0.8408064375839768,0.08982263463845971,0.8351520214325879
1232,1000,0.07,3,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_q3_4']",0.9998150079177538,0.002887323751955215,0.8408013410546041,0.08982407244795693,0.8351467438789479
1007,500,0.15,3,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9999207333638847,0.0018900101095699854,0.8407165382623388,0.08984799324624278,0.8350589289656459
482,100,0.07,3,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9573880857417715,0.04382121707691998,0.840704190004439,0.08985147585730173,0.8350461421084218
378,100,0.05,1,reg:squarederror,12,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.835497725670707,0.08610034000282936,0.840200429271068,0.08999343789681949,0.8349753751872881
1350,1000,0.15,1,reg:squarederror,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9339663601088223,0.05455085120019127,0.8414720654551906,0.08963465254682348,0.8349393208997726
682,100,0.2,1,reg:squarederror,8,"['rdvi_skewness', 'mcariosavi_q3', 'ref_q3_3', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_cor_cv_3']",0.8685466148319975,0.07696704276000027,0.8384179377244705,0.09049396392127741,0.8349336884031653
98,50,0.07,2,reg:squarederror,7,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_mean_skewness_4']",0.8687592691260444,0.07690476213891476,0.8379774984831252,0.0906172138930367,0.8349286879707108
687,100,0.2,1,reg:squarederror,3,"['rdvi_skewness', 'mcariosavi_q3', 'tex_mean_skewness_4']",0.8382742453597647,0.08537063391556925,0.8362208954578658,0.0911071129855302,0.8349141472833275
703,100,0.2,2,reg:squarederror,2,"['rdvi_skewness', 'tex_mean_skewness_4']",0.9121287569581995,0.06292776368355127,0.83575205885784,0.09123742211194617,0.8348807169950169
902,500,0.1,1,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.897880384576585,0.06783807229821578,0.8404806528296462,0.08991449730060383,0.8348146650886228
1051,500,0.2,1,reg:squarederror,14,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4']",0.9200436764171234,0.060026817916115686,0.840888918042689,0.08979936242860749,0.834786027227888
1382,1000,0.15,3,reg:squarederror,13,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9999618060379805,0.0013119469343926748,0.840446353656893,0.08992416329777497,0.8347791476392417
301,50,0.2,1,reg:squarederror,14,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.8581907500649363,0.07994129753902413,0.8408474954205853,0.08981105075020192,0.8347430157928818
96,50,0.07,2,reg:squarederror,9,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_skewness_4', 'tex_cor_cv_4']",0.8723950660623084,0.0758320238103365,0.8386628175659963,0.09042536549642047,0.8347383996148989
679,100,0.2,1,reg:squarederror,11,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3']",0.8725151652548908,0.07579632962329962,0.8395156549025418,0.09018605206094117,0.8347185685001721
556,100,0.1,3,reg:squarederror,14,"['rdvi_skewness', 'mcariosavi_q3', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9730582675556387,0.0348442942484348,0.8407821501472872,0.08982948629225018,0.8346751641255393
1050,500,0.2,1,reg:squarederror,15,"['rdvi_skewness', 'mcariosavi_q3', 'mcariosavi_skewness', 'ref_mean_1', 'ref_q1_2', 'ref_q3_3', 'ref_skewness_1', 'ref_skewness_3', 'tex_dis_cv_1', 'tex_mean_q3_1', 'tex_mean_skewness_4', 'tex_var_kurtosis_4', 'tex_cor_cv_3', 'tex_cor_cv_4', 'tex_cor_q3_4']",0.9212158235524475,0.05958520157644816,0.8411945130653817,0.08971308488215429,0.8346503309114827
