,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
286,"(150, 100, 50, 25, 10, 5)",relu,adam,0.005,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8501857914017317,0.08216661869377426,0.8507022508791021,0.08698606174645762,0.8474828924074924
287,"(150, 100, 50, 25, 10, 5)",relu,adam,0.005,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8501857914017317,0.08216661869377426,0.8507022508791021,0.08698606174645762,0.8474828924074924
289,"(150, 100, 50, 25, 10, 5)",relu,adam,0.001,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8404452503653428,0.08479569059547108,0.84728632396287,0.08797555279597764,0.8439933066898322
288,"(150, 100, 50, 25, 10, 5)",relu,adam,0.001,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8404452503653428,0.08479569059547108,0.84728632396287,0.08797555279597764,0.8439933066898322
291,"(150, 100, 50, 25, 10, 5)",relu,adam,0.001,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8404452503653428,0.08479569059547108,0.84728632396287,0.08797555279597764,0.8439933066898322
290,"(150, 100, 50, 25, 10, 5)",relu,adam,0.001,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.8404452503653428,0.08479569059547108,0.84728632396287,0.08797555279597764,0.8439933066898322
195,"(50, 25, 10, 5)",tanh,adam,0.05,adaptive,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911996795266978,0.09700284984003937,0.8439132656579921,0.08894182487869699,0.8405475139740674
194,"(50, 25, 10, 5)",tanh,adam,0.05,adaptive,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911996795266978,0.09700284984003937,0.8439132656579921,0.08894182487869699,0.8405475139740674
193,"(50, 25, 10, 5)",tanh,adam,0.05,constant,500,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911996795266978,0.09700284984003937,0.8439132656579921,0.08894182487869699,0.8405475139740674
192,"(50, 25, 10, 5)",tanh,adam,0.05,constant,200,42,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.7911996795266978,0.09700284984003937,0.8439132656579921,0.08894182487869699,0.8405475139740674
