,n_estimators,learning_rate,max_depth,objective,num_features,selected_features,r2_train,rmse_train,r2_val,rmse_val,r2_adj
77,50,0.07,7,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9795582658050264,0.030351333833122905,0.8068378322265907,0.09894277213126933,0.8052966447177603
707,1000,0.1,4,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999153531355378,0.0019530994188332398,0.8077128546217882,0.09871841294766198,0.8051421708600475
151,50,0.15,4,reg:squarederror,1,['rdvi_skewness'],0.9071200554018017,0.0646963659929508,0.8053567679010091,0.09932136796279409,0.804841838715562
530,500,0.15,2,reg:squarederror,6,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9916303947058569,0.019420991662397906,0.8076208535491652,0.09874202636643976,0.8045262828287765
117,50,0.1,7,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9875599151955959,0.023677213137184957,0.8059310339806138,0.09917474322817024,0.8043826113793954
741,1000,0.15,3,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9998239914938669,0.0028163442678753106,0.8058834285020422,0.09918690635685694,0.8043346260698776
350,100,0.15,4,reg:squarederror,2,"['rdvi_skewness', 'tex_homo_cv_4']",0.9704609361661136,0.036485245829165014,0.8052438712821204,0.09935016788826302,0.8042106822703544
110,50,0.1,4,reg:squarederror,2,"['rdvi_skewness', 'ref_q3_3']",0.9272302718941605,0.05726566247953853,0.8050663402521411,0.09939543917224372,0.8040322094311976
613,1000,0.05,2,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9680684524791464,0.03793402240695777,0.80541428729461,0.09930669155479509,0.8038617417145137
739,1000,0.15,3,reg:squarederror,5,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_mean_q3_1']",0.9999037211972561,0.0020829759404892246,0.806018228317486,0.09915246133610842,0.8034248891238696
768,1000,0.2,2,reg:squarederror,8,"['rdvi_skewness', 'ref_q3_3', 'tex_cont_cv_2', 'tex_cont_q3_4', 'tex_homo_cv_4', 'tex_homo_kurtosis_4', 'tex_dis_cv_1', 'tex_mean_q3_1']",0.9996935583929615,0.0037161460897187294,0.8069724217751604,0.0989082959611702,0.8028101020290722
621,1000,0.05,3,reg:squarederror,3,"['rdvi_skewness', 'ref_q3_3', 'tex_homo_kurtosis_4']",0.9943355283149593,0.015977124456922516,0.8042953552614225,0.0995918053843341,0.8027338820321254
